28 23 22 
22 28 23 21 
21 23 30 
16 4 22 
7 30 22 
7 22 28 
16 4 30 
30 16 8 
16 8 30 
22 7 23 28 1 29 30 8 6 11 24 4 16 
8 16 4 22 
16 4 8 
21 27 11 
30 22 6 
30 22 28 23 
23 28 16 
17 2 14 
28 22 23 29 7 30 16 21 
16 11 23 
16 22 23 
22 8 30 7 28 23 21 16 
7 30 8 
22 1 8 21 28 
23 22 16 
21 23 24 
7 23 1 
22 28 23 
22 6 25 
23 28 16 24 4 8 30 
13 16 29 
22 30 7 1 8 16 21 
7 16 4 8 
3 29 6 22 
7 23 28 21 30 
7 30 23 
21 7 1 
7 22 23 
23 21 22 7 28 
7 28 23 
21 23 22 
28 21 30 
30 21 6 
30 28 23 7 
28 23 21 
22 21 30 
7 28 30 
7 30 21 23 22 
7 23 21 28 
28 23 21 11 22 
28 23 21 
30 22 7 
7 30 21 23 28 
8 30 28 23 
30 7 28 23 
23 28 30 
23 28 22 
7 23 28 30 
23 22 28 
23 16 30 
1 30 7 
8 30 7 
28 3 21 
7 22 30 
21 23 30 
23 21 28 30 
8 30 16 
22 23 30 
7 23 28 30 21 22 11 
29 23 21 
30 7 21 
21 7 30 
29 27 21 
7 21 28 23 
21 23 28 
30 28 23 
30 7 21 
7 22 23 29 
24 7 28 
24 7 23 28 
23 22 7 
25 23 29 
16 8 30 7 
7 8 16 
16 6 30 8 
7 30 16 28 
16 11 13 
11 22 23 21 
10 21 28 22 
23 22 28 
6 11 26 
21 13 8 24 
21 23 30 28 
8 16 4 
16 30 28 21 
28 22 1 7 
8 4 16 
22 30 8 
28 22 23 
16 8 28 22 23 21 
8 16 1 
16 24 13 
30 27 21 
21 28 30 
16 23 28 22 
8 4 16 
16 8 30 7 
21 23 22 28 
28 7 30 22 27 
28 22 21 
7 1 16 
24 8 30 
28 7 27 
28 22 25 
30 16 8 21 
22 29 11 
22 8 30 
7 27 30 
22 28 23 
23 21 22 
22 29 1 
8 16 4 1 29 
30 24 4 
21 23 22 
2 17 14 
8 16 7 
17 2 14 
17 14 27 11 
7 30 22 21 23 
7 28 29 
30 22 28 29 16 
22 11 7 
22 28 6 
23 11 21 
6 21 23 28 22 
22 28 21 30 1 8 16 
7 22 6 
30 7 16 4 
24 16 30 6 21 
23 21 22 
23 13 21 1 22 
21 16 22 
7 30 4 16 8 28 22 
16 30 22 6 
21 6 7 1 
1 30 7 
24 28 22 21 
23 28 21 
22 25 6 
7 30 16 
2 14 17 
22 28 23 21 
22 28 21 
21 23 22 28 
30 8 7 
25 1 7 
23 28 22 
23 28 21 
11 29 7 
28 16 4 
7 21 23 
28 22 23 
6 16 4 
16 4 30 21 
6 22 28 
21 7 30 16 4 
28 22 6 
23 28 3 
23 27 21 
23 21 28 
22 4 16 24 7 6 30 
30 16 7 
28 25 21 
29 6 22 28 21 
8 4 16 
22 8 3 
8 19 22 
8 16 22 
16 4 25 
21 23 22 
16 7 28 
30 23 21 22 
21 30 8 16 4 
21 22 4 16 25 11 
7 30 6 
25 7 30 
8 16 1 
21 8 22 28 23 3 
28 23 22 
8 22 28 16 7 
30 24 22 
30 7 23 21 
4 10 1 
23 30 16 
22 28 4 
13 4 16 
6 21 22 
22 16 4 
7 11 25 
22 28 23 21 
28 4 16 
2 17 14 
23 22 29 
4 16 8 
7 22 30 16 
22 23 28 
22 29 16 
16 4 22 28 
4 16 8 
22 21 30 
11 23 3 30 7 16 4 1 2 
27 29 23 
16 30 28 22 29 
16 8 30 11 25 
21 6 22 28 
27 11 8 
23 28 22 25 4 21 
21 6 23 
21 24 30 
22 28 21 
23 22 21 
22 29 11 
16 8 28 22 6 
6 13 11 
22 23 28 
28 23 21 
11 19 15 
30 22 28 7 8 
6 27 11 
23 21 30 
16 4 8 
30 7 22 23 21 
22 11 16 
22 28 23 21 
4 2 17 
7 22 23 3 29 
21 22 3 
3 30 22 
30 23 21 22 6 16 
21 23 1 
6 22 28 21 23 30 7 
21 22 23 
3 21 23 28 7 30 22 
6 4 30 7 28 21 
21 23 28 6 
22 29 24 11 
28 22 21 
2 17 14 
7 28 22 30 
22 28 23 3 
23 22 21 
22 21 3 23 28 
22 30 21 
7 28 23 21 3 4 8 16 
30 1 8 16 23 
13 24 16 
7 16 30 
7 16 8 
30 7 24 16 
30 16 4 1 7 
6 16 11 4 8 
28 22 16 30 7 
22 21 6 16 
7 22 16 
22 28 23 
23 22 16 
11 24 16 7 
6 11 21 28 
22 16 8 
28 21 23 
21 23 28 
7 16 11 
7 30 8 
2 14 17 
28 4 16 
23 28 7 24 
22 23 21 
28 21 30 
21 23 28 
11 29 6 22 28 7 30 1 15 
16 22 29 
11 29 13 30 2 23 7 21 
22 28 21 
28 23 21 
23 30 22 28 3 
