20 16 21 2
2 21 16
2 10 21 26
28 2 13
11 26 25 20 28
9 10 15
12 20 16 21 1
19 11 28
12 1 16 21 2
1 2 21
13 2 21 16
9 26 2
1 16 2
2 9 10 21
17 26 27
15 25 26
1 21 2
26 19 2
13 2 20
21 2 11
21 2 7 13 28 11 12 16
1 11 26 25 29 28 12
25 10 12
11 12 26
28 12 20
20 2 12
2 13 11
21 5 2
2 16 1
21 2 16
21 16 2
2 13 22
1 16 2
1 21 16 6
13 20 28
1 16 28
29 28 12
10 25 26
2 21 16 1
25 10 9 2
15 10 19
21 16 1 26 9 10 15
29 16 2
10 9 26
26 13 20
11 1 16 9
16 2 21
1 21 2
26 10 9
13 28 2 26
1 2 20
2 13 9 16 21
2 20 26
11 12 28
11 28 20 2
2 21 16 13 10
16 2 21
12 20 2
9 10 15
1 16 2 26 6
10 15 11 16 21
2 28 12
2 16 21 28
16 8 12
13 1 11
19 25 26
20 16 2
20 2 16
21 16 20 11
11 20 10
1 16 13
1 16 20
20 2 21 16
21 16 12 20 2
1 16 11
1 21 2
26 10 20
13 2 28
2 21 13
21 16 2
16 21 20
16 21 20
2 16 1 21
10 12 2
10 9 26 15
2 10 13
2 16 21
26 9 10 1 2
21 16 27 11 13 2
16 20 29 1
16 21 2
27 17 26
2 21 1 13
16 21 1
13 2 21
